start_time,end_time,initial_label,sensor_events,activities
2011-11-28 15:04:59,2011-11-28 15:06:29,personal care,"[{'state': 'st(Bathroom-NearBathroomBasin, 15:04, 15:06)', 'start_time': Timestamp('2011-11-28 15:04:59'), 'end_time': Timestamp('2011-11-28 15:06:29'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}]",['personal care']
2011-11-28 15:07:01,2011-11-28 16:09:57,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 15:07, 16:09)', 'start_time': Timestamp('2011-11-28 15:07:01'), 'end_time': Timestamp('2011-11-28 16:09:57'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-28 16:10:05,2011-11-28 16:10:05,personal care,"[{'state': 'st(Bathroom-NearBathroomBasin, 16:10, 16:10)', 'start_time': Timestamp('2011-11-28 16:10:05'), 'end_time': Timestamp('2011-11-28 16:10:05'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}]",['relaxing on couch']
2011-11-28 16:10:38,2011-11-29 02:06:51,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 16:10, 20:19)', 'start_time': Timestamp('2011-11-28 16:10:38'), 'end_time': Timestamp('2011-11-28 20:19:27'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}, {'state': 'st(Kitchen-FridgeDoorOpen, 20:20, 20:20)', 'start_time': Timestamp('2011-11-28 20:20:55'), 'end_time': Timestamp('2011-11-28 20:20:59'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Living-SeatOccupied, 20:21, 02:06)', 'start_time': Timestamp('2011-11-28 20:21:15'), 'end_time': Timestamp('2011-11-29 02:06:51'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]","['relaxing on couch', 'snacking', 'relaxing on couch']"
2011-11-29 02:16:05,2011-11-29 11:31:04,sleeping,"[{'state': 'st(Bedroom-BedOccupied, 02:16, 11:31)', 'start_time': Timestamp('2011-11-29 02:16:05'), 'end_time': Timestamp('2011-11-29 11:31:04'), 'location': 'Bed', 'type': 'Pressure', 'place': 'Bedroom', 'device': 'Bedroom_Bed_Pressure'}]",['sleeping']
2011-11-29 11:37:16,2011-11-29 11:48:29,personal care,"[{'state': 'st(Bathroom-ToiletFlush, 11:37, 11:37)', 'start_time': Timestamp('2011-11-29 11:37:16'), 'end_time': Timestamp('2011-11-29 11:37:27'), 'location': 'Toilet', 'type': 'Flush', 'place': 'Bathroom', 'device': 'Bathroom_Toilet_Flush'}, {'state': 'st(Bathroom-NearBathroomBasin, 11:37, 11:48)', 'start_time': Timestamp('2011-11-29 11:37:38'), 'end_time': Timestamp('2011-11-29 11:48:29'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}, {'state': 'st(Bathroom-CabinetDoorOpen, 11:38, 11:38)', 'start_time': Timestamp('2011-11-29 11:38:16'), 'end_time': Timestamp('2011-11-29 11:38:37'), 'location': 'Cabinet', 'type': 'Magnetic', 'place': 'Bathroom', 'device': 'Bathroom_Cabinet_Magnetic'}]",['personal care']
2011-11-29 11:49:57,2011-11-29 11:51:13,showering,"[{'state': 'st(Bathroom-NearBathroomShower, 11:49, 11:51)', 'start_time': Timestamp('2011-11-29 11:49:57'), 'end_time': Timestamp('2011-11-29 11:51:13'), 'location': 'Shower', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Shower_PIR'}]",['showering']
2011-11-29 12:08:28,2011-11-29 12:10:37,preparing breakfast,"[{'state': 'st(Kitchen-CupboardDoorOpen, 12:08, 12:09)', 'start_time': Timestamp('2011-11-29 12:08:28'), 'end_time': Timestamp('2011-11-29 12:09:21'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Kitchen-ToasterOn, 12:09, 12:13)', 'start_time': Timestamp('2011-11-29 12:09:09'), 'end_time': Timestamp('2011-11-29 12:13:02'), 'location': 'Toaster', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Toaster_Electric'}, {'state': 'st(Kitchen-FridgeDoorOpen, 12:09, 12:09)', 'start_time': Timestamp('2011-11-29 12:09:24'), 'end_time': Timestamp('2011-11-29 12:09:37'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-MicrowaveOn, 12:09, 12:10)', 'start_time': Timestamp('2011-11-29 12:09:42'), 'end_time': Timestamp('2011-11-29 12:10:37'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}]",['preparing breakfast']
2011-11-29 12:19:24,2011-11-29 12:21:58,personal care,"[{'state': 'st(Bathroom-NearBathroomBasin, 12:19, 12:21)', 'start_time': Timestamp('2011-11-29 12:19:24'), 'end_time': Timestamp('2011-11-29 12:21:11'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}, {'state': 'st(Bathroom-ToiletFlush, 12:21, 12:21)', 'start_time': Timestamp('2011-11-29 12:21:56'), 'end_time': Timestamp('2011-11-29 12:21:58'), 'location': 'Toilet', 'type': 'Flush', 'place': 'Bathroom', 'device': 'Bathroom_Toilet_Flush'}]",['personal care']
2011-11-29 12:22:38,2011-11-29 13:25:15,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 12:22, 13:25)', 'start_time': Timestamp('2011-11-29 12:22:38'), 'end_time': Timestamp('2011-11-29 13:25:15'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-29 13:25:29,2011-11-29 13:25:32,preparing lunch,"[{'state': 'st(Kitchen-FridgeDoorOpen, 13:25, 13:25)', 'start_time': Timestamp('2011-11-29 13:25:29'), 'end_time': Timestamp('2011-11-29 13:25:32'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}]",['snacking']
2011-11-29 13:25:38,2011-11-29 15:12:26,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 13:25, 15:12)', 'start_time': Timestamp('2011-11-29 13:25:38'), 'end_time': Timestamp('2011-11-29 15:12:26'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-29 15:14:33,2011-11-29 15:15:09,preparing lunch,"[{'state': 'st(Kitchen-CupboardDoorOpen, 15:14, 15:15)', 'start_time': Timestamp('2011-11-29 15:14:33'), 'end_time': Timestamp('2011-11-29 15:15:09'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}]",['preparing lunch']
2011-11-29 15:15:14,2011-11-29 15:36:26,preparing dinner,"[{'state': 'st(Kitchen-NearKitchenCooktop, 15:15, 15:36)', 'start_time': Timestamp('2011-11-29 15:15:14'), 'end_time': Timestamp('2011-11-29 15:36:26'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-MicrowaveOn, 15:15, 15:22)', 'start_time': Timestamp('2011-11-29 15:15:17'), 'end_time': Timestamp('2011-11-29 15:22:57'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}, {'state': 'st(Kitchen-CupboardDoorOpen, 15:15, 15:16)', 'start_time': Timestamp('2011-11-29 15:15:27'), 'end_time': Timestamp('2011-11-29 15:16:39'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Kitchen-FridgeDoorOpen, 15:24, 15:24)', 'start_time': Timestamp('2011-11-29 15:24:13'), 'end_time': Timestamp('2011-11-29 15:24:41'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-CupboardDoorOpen, 15:24, 15:24)', 'start_time': Timestamp('2011-11-29 15:24:39'), 'end_time': Timestamp('2011-11-29 15:24:45'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}]",['preparing lunch']
2011-11-29 15:15:17,2011-11-29 15:22:57,preparing lunch,"[{'state': 'st(Kitchen-NearKitchenCooktop, 15:15, 15:36)', 'start_time': Timestamp('2011-11-29 15:15:14'), 'end_time': Timestamp('2011-11-29 15:36:26'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-MicrowaveOn, 15:15, 15:22)', 'start_time': Timestamp('2011-11-29 15:15:17'), 'end_time': Timestamp('2011-11-29 15:22:57'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}, {'state': 'st(Kitchen-CupboardDoorOpen, 15:15, 15:16)', 'start_time': Timestamp('2011-11-29 15:15:27'), 'end_time': Timestamp('2011-11-29 15:16:39'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}]",['preparing lunch']
2011-11-29 15:52:04,2011-11-29 17:08:07,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 15:52, 16:17)', 'start_time': Timestamp('2011-11-29 15:52:04'), 'end_time': Timestamp('2011-11-29 16:17:58'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}, {'state': 'st(Bathroom-ToiletFlush, 16:31, 16:31)', 'start_time': Timestamp('2011-11-29 16:31:16'), 'end_time': Timestamp('2011-11-29 16:31:27'), 'location': 'Toilet', 'type': 'Flush', 'place': 'Bathroom', 'device': 'Bathroom_Toilet_Flush'}, {'state': 'st(Kitchen-CupboardDoorOpen, 16:32, 16:32)', 'start_time': Timestamp('2011-11-29 16:32:20'), 'end_time': Timestamp('2011-11-29 16:32:23'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Living-SeatOccupied, 16:34, 17:08)', 'start_time': Timestamp('2011-11-29 16:34:17'), 'end_time': Timestamp('2011-11-29 17:08:07'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]","['relaxing on couch', 'relaxing on couch']"
2011-11-29 17:09:09,2011-11-29 18:57:22,relaxing on couch,"[{'state': 'st(Bathroom-ToiletFlush, 17:09, 17:09)', 'start_time': Timestamp('2011-11-29 17:09:04'), 'end_time': Timestamp('2011-11-29 17:09:29'), 'location': 'Toilet', 'type': 'Flush', 'place': 'Bathroom', 'device': 'Bathroom_Toilet_Flush'}, {'state': 'st(Living-SeatOccupied, 17:09, 18:57)', 'start_time': Timestamp('2011-11-29 17:09:09'), 'end_time': Timestamp('2011-11-29 18:57:22'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-29 19:02:15,2011-11-29 20:23:38,leaving home,"[{'state': 'st(Entrance-MainDoorOpen, 19:02, 19:02)', 'start_time': Timestamp('2011-11-29 19:02:15'), 'end_time': Timestamp('2011-11-29 19:02:21'), 'location': 'Maindoor', 'type': 'Magnetic', 'place': 'Entrance', 'device': 'Entrance_Maindoor_Magnetic'}, {'state': 'st(Entrance-MainDoorOpen, 20:23, 20:23)', 'start_time': Timestamp('2011-11-29 20:23:32'), 'end_time': Timestamp('2011-11-29 20:23:38'), 'location': 'Maindoor', 'type': 'Magnetic', 'place': 'Entrance', 'device': 'Entrance_Maindoor_Magnetic'}]",['leaving home']
2011-11-29 20:28:08,2011-11-30 01:19:47,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 20:28, 01:19)', 'start_time': Timestamp('2011-11-29 20:28:08'), 'end_time': Timestamp('2011-11-30 01:19:47'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-30 01:22:33,2011-11-30 10:07:31,sleeping,"[{'state': 'st(Bedroom-BedOccupied, 01:22, 10:07)', 'start_time': Timestamp('2011-11-30 01:22:33'), 'end_time': Timestamp('2011-11-30 10:07:31'), 'location': 'Bed', 'type': 'Pressure', 'place': 'Bedroom', 'device': 'Bedroom_Bed_Pressure'}]",['sleeping']
2011-11-30 10:14:45,2011-11-30 10:18:33,showering,"[{'state': 'st(Bathroom-NearBathroomShower, 10:14, 10:18)', 'start_time': Timestamp('2011-11-30 10:14:45'), 'end_time': Timestamp('2011-11-30 10:18:33'), 'location': 'Shower', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Shower_PIR'}]",['showering']
2011-11-30 10:23:02,2011-11-30 10:28:38,preparing breakfast,"[{'state': 'st(Kitchen-CupboardDoorOpen, 10:23, 10:23)', 'start_time': Timestamp('2011-11-30 10:23:02'), 'end_time': Timestamp('2011-11-30 10:23:17'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Kitchen-FridgeDoorOpen, 10:23, 10:23)', 'start_time': Timestamp('2011-11-30 10:23:21'), 'end_time': Timestamp('2011-11-30 10:23:36'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-MicrowaveOn, 10:23, 10:28)', 'start_time': Timestamp('2011-11-30 10:23:46'), 'end_time': Timestamp('2011-11-30 10:28:38'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}, {'state': 'st(Kitchen-ToasterOn, 10:24, 10:27)', 'start_time': Timestamp('2011-11-30 10:24:10'), 'end_time': Timestamp('2011-11-30 10:27:58'), 'location': 'Toaster', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Toaster_Electric'}]",['preparing breakfast']
2011-11-30 10:39:30,2011-11-30 10:41:13,showering,"[{'state': 'st(Bathroom-NearBathroomBasin, 10:39, 10:41)', 'start_time': Timestamp('2011-11-30 10:39:30'), 'end_time': Timestamp('2011-11-30 10:41:13'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}, {'state': 'st(Bathroom-CabinetDoorOpen, 10:39, 10:39)', 'start_time': Timestamp('2011-11-30 10:39:42'), 'end_time': Timestamp('2011-11-30 10:39:45'), 'location': 'Cabinet', 'type': 'Magnetic', 'place': 'Bathroom', 'device': 'Bathroom_Cabinet_Magnetic'}]",['personal care']
2011-11-30 10:41:38,2011-11-30 13:05:01,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 10:41, 13:05)', 'start_time': Timestamp('2011-11-30 10:41:38'), 'end_time': Timestamp('2011-11-30 13:05:01'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-30 13:05:27,2011-11-30 13:05:31,snacking,"[{'state': 'st(Kitchen-FridgeDoorOpen, 13:05, 13:05)', 'start_time': Timestamp('2011-11-30 13:05:27'), 'end_time': Timestamp('2011-11-30 13:05:31'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}]",['snacking']
2011-11-30 13:05:38,2011-11-30 14:09:34,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 13:05, 14:09)', 'start_time': Timestamp('2011-11-30 13:05:38'), 'end_time': Timestamp('2011-11-30 14:09:34'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-30 14:13:45,2011-11-30 14:34:09,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 14:13, 14:34)', 'start_time': Timestamp('2011-11-30 14:13:45'), 'end_time': Timestamp('2011-11-30 14:34:09'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-30 14:39:42,2011-11-30 14:55:24,preparing lunch,"[{'state': 'st(Kitchen-NearKitchenCooktop, 14:39, 14:55)', 'start_time': Timestamp('2011-11-30 14:39:42'), 'end_time': Timestamp('2011-11-30 14:55:24'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-CupboardDoorOpen, 14:40, 14:40)', 'start_time': Timestamp('2011-11-30 14:40:14'), 'end_time': Timestamp('2011-11-30 14:40:24'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Kitchen-FridgeDoorOpen, 14:41, 14:42)', 'start_time': Timestamp('2011-11-30 14:41:57'), 'end_time': Timestamp('2011-11-30 14:42:12'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-FridgeDoorOpen, 14:46, 14:46)', 'start_time': Timestamp('2011-11-30 14:46:46'), 'end_time': Timestamp('2011-11-30 14:46:50'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-FridgeDoorOpen, 14:50, 14:50)', 'start_time': Timestamp('2011-11-30 14:50:19'), 'end_time': Timestamp('2011-11-30 14:50:33'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}]",['preparing lunch']
2011-11-30 15:11:48,2011-11-30 16:39:11,relaxing on couch,"[{'state': 'st(Living-SeatOccupied, 15:11, 16:39)', 'start_time': Timestamp('2011-11-30 15:11:48'), 'end_time': Timestamp('2011-11-30 16:39:11'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-30 16:41:05,2011-11-30 16:41:09,Preparing Lunch,"[{'state': 'st(Kitchen-FridgeDoorOpen, 16:41, 16:41)', 'start_time': Timestamp('2011-11-30 16:41:05'), 'end_time': Timestamp('2011-11-30 16:41:09'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}]",['snacking']
2011-11-30 16:41:15,2011-11-30 18:00:38,Relaxing on Couch,"[{'state': 'st(Living-SeatOccupied, 16:41, 18:00)', 'start_time': Timestamp('2011-11-30 16:41:15'), 'end_time': Timestamp('2011-11-30 18:00:38'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
